Input,Q,P,R
어제 우리반과 옆반의 설정온도 차이 알려줘,0.949,0.0003,0.6579
오늘 우리반과 옆반의 평균 온도차이 알려줘,0.7615,0.0003,0.5751
작년 겨울 우리반 평균온도 알려줘,5.8157,0.0001,0.5409
올해 여름 앞반 평균온도 알려줘,1.737,0.0003,0.4334
올해 봄 옆반 제일 추웠던 날 알려줘,3.0264,0.0007,0.2797
4월 앞반 평균온도 알려줘,1.2902,0.0001,0.2658
이번달 중 우리반 온도가 가장 덜 더운날이 언제야?,1.2975,0.0011,0.2012
2주전 우리반과 옆반 합쳐서 설정온도가 가장 낮은날이 언제야?,0.794,0.0658,1.802
우리반의 현재 설정 온도 알려줘,0.2384,0.0001,0.2902
8일전 설정온도는?,0.6976,0.0002,0.3375
10년 전 오늘 우리반 온도는?,0.2313,0.0001,0.3077
지금 4층 최대 설정온도 알려줘,0.2435,0.0001,0.3336
"우리반, 옆반, 앞반 중 가장 추운 방은?",0.2429,0.0006,0.6242
지난달 오늘 오후 2시에 옆반의 설정온도는 어땠어?,0.2319,0.0001,0.3816
옆반의 현재 온도랑 설정온도 알려줘,0.249,0.0001,0.5049
이번주 우리반 평균 온도 알려줘,1.2273,0.0002,0.323
지난달 설정온도 평균을 알려줘.,1.739,0.0003,0.2914
우리반 이번달 제일 추웠던 날은 언제냐?,1.7162,0.0012,0.7456
작년 옆반 가장 더웠던 달은?,12.9584,0.0007,0.2794
오늘 오전 11시에 옆반의 실내온도는 어땠어?,0.2425,0.0001,0.3823
오늘 오후 4시부터 6시까지 실내온도 평균 알려줘,0.2486,0.0002,0.4605
지난주에 설정온도와 실내온도 차이가 가장 많이 났던 날은?,1.0154,0.0017,0.8144
우리반과 옆반중 더 추운곳은 어디야?,0.4752,0.0003,0.5949
이번주 우리반과 앞반의 평균 온도 알려줘,3.1623,0.0003,0.5934
현재 설정온도랑 실내온도 차이 알려줘.,0.2383,0.0002,0.6044
지난달에 설정온도와 실내온도 차이가 가장 많이 났던 날은?,1.9887,0.0038,1.7654
이번주 우리반과 옆반의 평균 실내온도 차이 알려줘,2.9183,0.0003,0.7033
2주전 가장 더웠던 날 알려줘,0.7341,0.0017,0.602
지난 3일 동안 우리반 실내 온도 평균 값 알려줘.,0.4824,0.0002,0.398
오늘 오후 5시에 옆반의 설정온도는 어땠어?,0.2345,0.0001,0.3653
올해 여름 우리반 실내온도 최대값과 최소값 알려줘,1.9428,0.0004,0.6656
우리반과 앞반 중 가장 더운 방은?,0.2392,0.0005,0.3858
지금 4층 평균 실내온도 알려줘,0.238,0.0002,0.3212
이번주 우리반과 앞반의 평균 온도 알려줘,1.959,0.0003,0.6008
현재 설정온도랑 실내온도 차이 알려줘.,0.2393,0.0002,0.6026
지난달에 설정온도와 실내온도 차이가 가장 많이 났던 날은?,2.6796,0.0019,0.8391
이번주 우리반과 옆반의 평균 실내온도 차이 알려줘,1.4802,0.0003,0.6932
2주전 가장 더웠던 날 알려줘,0.9709,0.0012,0.5383
지난 3일 동안 우리반 실내 온도 평균 값 알려줘.,0.4882,0.0002,0.3985
오늘 오후 5시에 옆반의 설정온도는 어땠어?,0.2349,0.0001,0.3642
올해 여름 우리반 실내온도 최대값과 최소값 알려줘,2.6234,0.0004,0.6666
우리반과 앞반 중 가장 더운 방은?,0.2398,0.0007,0.3538
현재 4층에서 온도 22℃ 이상인 방들 알려줘,0.2432,0.0005,0.3861
3주전 온도가 22℃ 이상이었던 날짜 알려줘,1.442,0.0336,1.5352
